"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testFindOneGroup_notFound","testFindOneGroup_notFound()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","","com.anastasia.Anastasia_BackEnd.UnitTests.specification.ChildSpecificationsTest","testHasStatus","testHasStatus()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.GroupServiceUnitTest","testExists_true","testExists_true()",""
"passed","Wed Oct 15 23:12:04 GMT 2025","Wed Oct 15 23:12:04 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","testChangePassword_incorrectCurrentPassword","testChangePassword_incorrectCurrentPassword()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.ChildServiceUnitTest","updateChildDetails_shouldNotCallSave_whenChildNotFound","updateChildDetails_shouldNotCallSave_whenChildNotFound()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","1","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","convertTenantToDTO_shouldMapCorrectly","convertTenantToDTO_shouldMapCorrectly()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","2","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.auth.UserServiceUnitTest","testChangePassword_success","testChangePassword_success()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.TenantServiceUnitTest","convertTenantToEntity_shouldMapCorrectly","convertTenantToEntity_shouldMapCorrectly()",""
"passed","Wed Oct 15 23:12:06 GMT 2025","Wed Oct 15 23:12:06 GMT 2025","11","","com.anastasia.Anastasia_BackEnd.util.JwtUtilTest","","com.anastasia.Anastasia_BackEnd.util.JwtUtilTest","testTokenIsExpired","testTokenIsExpired()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","58","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.PriestServiceUnitTest","testRegisterPriest_createsNewUserAndSavesPriest","testRegisterPriest_createsNewUserAndSavesPriest()",""
"passed","Wed Oct 15 23:12:05 GMT 2025","Wed Oct 15 23:12:05 GMT 2025","3","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","","com.anastasia.Anastasia_BackEnd.UnitTests.service.registration.MemberServiceUnitTest","testApproveByPriest","testApproveByPriest()",""
